#Creation Date: 2016-Dec-17
|    ion |       wave | NIST | Instr | amplitude |                    Source | line_flag |
| UNKNWN |  6129.8095 |    0 |     1 |       545 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6329.5403 |    0 |     1 |       162 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6364.1560 |    0 |     1 |     20774 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6422.0314 |    0 |     1 |       169 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6440.3180 |    0 |     1 |     16538 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6457.5062 |    0 |     1 |       139 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6470.8836 |    0 |     1 |       136 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  6909.0743 |    0 |     1 |       155 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7026.4035 |    0 |     1 |      4492 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7051.9819 |    0 |     1 |       300 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7227.2014 |    0 |     1 |       147 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7474.3356 |    0 |     1 |       485 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7636.9905 |    0 |     1 |     64386 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7666.2764 |    0 |     1 |       125 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7687.2035 |    0 |     1 |      7260 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7726.1462 |    0 |     1 |     55795 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7930.7411 |    0 |     1 |       286 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  7969.4430 |    0 |     1 |       327 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8084.4618 |    0 |     1 |      2200 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8106.1598 |    0 |     1 |     64392 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8115.3229 |    0 |     1 |     64394 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8138.6484 |    0 |     1 |      1475 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8173.1559 |    0 |     1 |       193 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8208.2801 |    0 |     1 |       671 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8266.2550 |    0 |     1 |     64396 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8282.5947 |    0 |     1 |     30850 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8367.7188 |    0 |     1 |       684 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8421.0058 |    0 |     1 |      2531 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8465.3161 |    0 |     1 |       524 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8497.5519 |    0 |     1 |     14380 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8546.6448 |    0 |     1 |       259 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8593.4537 |    0 |     1 |      3159 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8636.7122 |    0 |     1 |      4500 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8670.0251 |    0 |     1 |      5432 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8683.0960 |    0 |     1 |      2011 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8706.2844 |    0 |     1 |       370 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8741.3855 |    0 |     1 |       489 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8766.6654 |    0 |     1 |       175 | lrisr_600_7500_PYPIT.json |        31 |
| UNKNWN |  8820.3072 |    0 |     1 |     64332 | lrisr_600_7500_PYPIT.json |        31 |
